Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
218224452,Salvager: A Military Science Fiction Adventure (Tall Boys),Scott Moon,"Moon, Scott",,"=""""","=""""",0,4.21,Scott Moon Productions LLC,Kindle Edition,158,2024,,,2025/02/17,to-read,to-read (#379),to-read,,,,0,0
60222807,"Legends & Lattes (Legends & Lattes, #1)",Travis Baldree,"Baldree, Travis",,"=""""","=""""",0,4.08,Cryptid Press,Kindle Edition,296,2022,2022,,2022/10/08,"audiobook, book-club","audiobook (#29), book-club (#13)",read,,,,1,0
62037390,The Path of Ascension (The Path of Ascension #1),C. Mantis,"Mantis, C.",,"=""""","=""""",0,4.44,Aethon Books,Kindle Edition,654,2022,2022,,2025/02/07,to-read,to-read (#378),to-read,,,,0,0
61208877,"A Soul to Keep (Duskwalker Brides, #1)",Opal Reyne,"Reyne, Opal",,"=""0645510408""","=""9780645510409""",0,4.09,,Kindle Edition,544,2022,2022,,2025/02/02,"to-read, romantasy","to-read (#377), romantasy (#1)",to-read,,,,0,0
2272168,The Book of Heroic Failures: The Official Handbook of the Not Terribly Good Club of Great Britain,Stephen Pile,"Pile, Stephen",Bill Tidy,"=""0708819087""","=""9780708819081""",0,3.85,Futura,Mass Market Paperback,216,1980,1979,,2025/01/30,to-read,to-read (#376),to-read,,,,0,0
25499718,"Children of Time (Children of Time, #1)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1447273281""","=""9781447273288""",0,4.30,PanMacmillan,Hardcover,608,2015,2015,,2021/12/19,to-read,to-read (#375),to-read,,,,1,0
55278507,"Shards of Earth (The Final Architecture, #1)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",Sophie Aldred,"=""1549106392""","=""9781549106392""",0,4.18,Orbit,Audiobook,,2021,2021,,2022/02/25,audiobook,audiobook (#28),read,,,,1,0
12287209,"Wool (Wool, #1)",Hugh Howey,"Howey, Hugh",,"=""""","=""""",5,4.20,Broad Reach,Kindle Edition,56,2011,2012,,2015/06/22,,,read,,,,1,0
43561172,The Second Sleep,Robert   Harris,"Harris, Robert",,"=""""","=""""",0,3.49,Cornerstone Digital,ebook,330,2019,2019,,2024/12/31,to-read,to-read (#374),to-read,,,,0,0
518848,"Sabriel (Abhorsen, #1)",Garth Nix,"Nix, Garth",,"=""0064471837""","=""9780064471831""",0,4.17,Harper Collins,Mass Market Paperback,491,1996,1995,,2024/12/20,to-read,to-read (#373),to-read,,,,0,0
17910124,"The Emperor's Blades (Chronicle of the Unhewn Throne, #1)",Brian Staveley,"Staveley, Brian",,"=""0765336405""","=""9780765336408""",0,4.09,Tor Books,Hardcover,480,2014,2014,,2024/12/17,to-read,to-read (#372),to-read,,,,0,0
203608754,"Wind and Truth (The Stormlight Archive, #5)",Brandon Sanderson,"Sanderson, Brandon",,"=""125031917X""","=""9781250319173""",0,4.46,Tor Books,Kindle Edition,1330,2024,2024,,2024/12/16,currently-reading,currently-reading (#3),currently-reading,,,,1,0
54897345,"The Service of Mars (Starship's Mage,  #9)",Glynn Stewart,"Stewart, Glynn",,"=""""","=""""",5,4.48,Faolan's Pen Publishing,Kindle Edition,319,2020,2020,2024/12/14,2023/12/18,,,read,,,,1,0
159116833,Not Till We Are Lost (Bobiverse #5),Dennis E. Taylor,"Taylor, Dennis E.",Ray Porter,"=""""","=""""",0,4.30,Audible Originals,Audiobook,413,2024,2024,,2024/12/11,to-read,to-read (#371),to-read,,,,0,0
216017751,"This Inevitable Ruin (Dungeon Crawler Carl, #7)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",0,4.73,,Kindle Edition,724,2024,2024,,2024/12/11,to-read,to-read (#370),to-read,,,,0,0
125887685,"The Eye of the Bedlam Bride (Dungeon Crawler Carl, #6)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",0,4.68,Dandy House,Kindle Edition,694,2023,2023,,2024/12/11,to-read,to-read (#369),to-read,,,,0,0
60233239,"The Butcher's Masquerade (Dungeon Crawler Carl, #5)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",0,4.69,Dandy House,Kindle Edition,726,2022,2022,,2024/12/11,to-read,to-read (#368),to-read,,,,0,0
57905101,"The Gate of the Feral Gods (Dungeon Crawler Carl, #4)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",0,4.58,Dandy House,Kindle Edition,586,2021,2021,,2024/12/11,to-read,to-read (#367),to-read,,,,0,0
57001971,"The Dungeon Anarchist's Cookbook (Dungeon Crawler Carl, #3)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",0,4.50,Dandy House,Kindle Edition,534,2021,2021,,2024/12/11,to-read,to-read (#366),to-read,,,,0,0
57849375,"Carl's Doomsday Scenario (Dungeon Crawler Carl, #2)",Matt Dinniman,"Dinniman, Matt",Jeff Hays,"=""""","=""""",4,4.56,Soundbooth Theater,Audible Audio,12,2021,2021,,2024/12/11,audiobook,audiobook (#27),read,,,,1,0
