Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt0257076,6,2025-11-17,"S.W.A.T.","S.W.A.T.",https://www.imdb.com/title/tt0257076,Movie,6.1,117,2003,"Crime, Thriller, Adventure, Action",158685,"2003-12-05","Clark Johnson"
tt0279331,7,2025-11-17,"Dark Blue","Dark Blue",https://www.imdb.com/title/tt0279331,Movie,6.6,118,2002,"Crime, Drama, Thriller",25316,"2003-07-04","Ron Shelton"
tt31425731,6,2025-11-14,"Playdate","Playdate",https://www.imdb.com/title/tt31425731,Movie,5.5,93,2025,"Action, Comedy",8254,"2025-11-12","Luke Greenfield"
tt5066870,6,2025-11-11,"Autumn Dreams","Autumn Dreams",https://www.imdb.com/title/tt5066870,TV Movie,6.4,84,2015,"Comedy, Drama, Romance",4510,"2015-10-03","Neill Fearnley"
tt1312221,9,2025-11-11,"Frankenstein","Frankenstein",https://www.imdb.com/title/tt1312221,Movie,7.6,149,2025,"Horror, Sci-Fi, Drama, Fantasy",120750,"2025-11-07","Guillermo del Toro"
tt9103028,6,2025-11-09,"Return to Christmas Creek","Return to Christmas Creek",https://www.imdb.com/title/tt9103028,TV Movie,6.1,86,2018,"Drama, Romance",2561,"2018-11-17","Don McBrearty"
tt15403980,7,2025-11-09,"A Very Merry Bridesmaid","A Very Merry Bridesmaid",https://www.imdb.com/title/tt15403980,TV Movie,6.6,84,2021,"Romance, Drama, Comedy",2065,"2021-12-04","David I. Strasser"
tt13273728,6,2025-11-06,"Colors of Love","Colors of Love",https://www.imdb.com/title/tt13273728,Movie,5.6,85,2021,"Drama, Romance",3184,"2023-04-04","Bradley Walsh"
tt0102798,7,2025-11-03,"Robin Hood: Prince of Thieves","Robin Hood: Prince of Thieves",https://www.imdb.com/title/tt0102798,Movie,6.9,143,1991,"Drama, Romance, Adventure, Action",218982,"1991-07-19","Kevin Reynolds"
tt31888477,8,2025-11-01,"Downton Abbey: The Grand Finale","Downton Abbey: The Grand Finale",https://www.imdb.com/title/tt31888477,Movie,7.4,123,2025,"Drama",11491,"2025-09-12","Simon Curtis"
tt11703710,8,2025-10-31,"Downton Abbey: A New Era","Downton Abbey: A New Era",https://www.imdb.com/title/tt11703710,Movie,7.4,124,2022,"Drama, Romance",36942,"2022-04-29","Simon Curtis"
tt0096945,6,2025-10-28,"Blind Fury","Blind Fury",https://www.imdb.com/title/tt0096945,Movie,6.3,86,1989,"Crime, Thriller, Comedy, Drama, Action",19981,"1990-07-13","Phillip Noyce"
tt6398184,8,2025-10-28,"Downton Abbey","Downton Abbey",https://www.imdb.com/title/tt6398184,Movie,7.4,122,2019,"Drama, Romance",69485,"2019-09-13","Michael Engler"
tt20048582,4,2025-10-25,"Canary Black","Canary Black",https://www.imdb.com/title/tt20048582,Movie,5.4,101,2024,"Action, Drama, Thriller",13256,"2024-10-24","Pierre Morel"
tt0090859,6,2025-10-24,"Cobra","Cobra",https://www.imdb.com/title/tt0090859,Movie,5.8,87,1986,"Crime, Thriller, Action",84390,"1986-08-01","George P. Cosmatos"
tt21841642,6,2025-10-23,"A Maple Valley Christmas","A Maple Valley Christmas",https://www.imdb.com/title/tt21841642,TV Movie,6.2,85,2022,"Romance, Drama, Comedy",1701,"2022-11-05","Paul Ziller"
tt4045450,4,2025-10-22,"I Know What You Did Last Summer","I Know What You Did Last Summer",https://www.imdb.com/title/tt4045450,Movie,5.1,111,2025,"Horror",36733,"2025-07-18","Jennifer Kaytin Robinson"
tt2140507,7,2025-10-22,"The Current War","The Current War",https://www.imdb.com/title/tt2140507,Movie,6.5,108,2017,"Drama, Biography, History",32863,"2019-07-26","Alfonso Gomez-Rejon"
tt0163651,8,2025-10-21,"American Pie","American Pie",https://www.imdb.com/title/tt0163651,Movie,7.0,95,1999,"Comedy",460806,"1999-10-08","Paul Weitz"
tt0109686,8,2025-10-21,"Dumb and Dumber","Dumb and Dumber",https://www.imdb.com/title/tt0109686,Movie,7.3,107,1994,"Comedy",436633,"1995-04-07","Peter Farrelly,Bobby Farrelly"
