Date,Name,Year,Letterboxd URI,Rating
2019-03-09,Ocean's Eight,2018,https://boxd.it/eaai,3
2019-03-09,Akira,1988,https://boxd.it/2b1i,5
2019-04-06,They Shall Not Grow Old,2018,https://boxd.it/jP62,4
2019-04-06,The Favourite,2018,https://boxd.it/d2hI,2.5
2019-04-06,The Fate of the Furious,2017,https://boxd.it/bbCw,3.5
2019-04-12,He's Just Not That Into You,2009,https://boxd.it/1WSG,3.5
2019-04-12,Megamind,2010,https://boxd.it/16Sk,4
2019-04-12,Predator 2,1990,https://boxd.it/2aY4,3.5
2019-04-12,Pretty Woman,1990,https://boxd.it/2b6M,3.5
2019-04-12,Total Recall,1990,https://boxd.it/29qK,4
2019-04-12,Slumdog Millionaire,2008,https://boxd.it/1S3E,4.5
2019-04-12,Knight and Day,2010,https://boxd.it/17po,3
2019-04-12,Beauty and the Beast,1991,https://boxd.it/1XhG,4
2019-04-12,Alice in Wonderland,2010,https://boxd.it/1Spq,3.5
2019-04-12,Splice,2009,https://boxd.it/17HW,3
2019-04-12,Highlander II: The Quickening,1991,https://boxd.it/20Gu,1
2019-04-12,Centurion,2010,https://boxd.it/1yPo,3.5
2019-04-12,Universal Soldiers,2007,https://boxd.it/3an0,1
2019-04-12,The Rocketeer,1991,https://boxd.it/1WIG,3.5
2019-04-12,The Silence of the Lambs,1991,https://boxd.it/2aHW,4
